station,date_time,longitude,latitude,depth(m),총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[μg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L]
대산연안4_연안,2016-05-01,126.2077778,37.07444444,38.5,246.4,31.92,10.63,1.8,33.7,8.84,8.12,313.0,6.0,13.4,191.7,,203.2,0.96,5.5,22.4
대산연안4_연안,2016-08-01,126.2077778,37.07444444,40.3,303.2,31.45,22.25,1.51,6.3,6.84,8.0,160.9,19.5,12.3,68.5,,107.6,1.0,19.6,27.5
대산연안4_연안,2016-11-01,126.2077778,37.07444444,36.0,312.2,32.03,17.36,0.47,20.3,7.31,8.05,421.7,1.9,26.8,133.7,,142.5,0.92,6.9,43.5
대정연안1_연안,2016-02-01,126.2516667,33.2025,17.0,273.5,34.52,14.26,0.42,5.0,8.58,8.28,184.2,3.4,16.7,62.4,,80.0,1.73,14.2,17.0
대정연안1_연안,2016-05-01,126.2516667,33.2025,20.0,171.7,34.37,16.48,0.13,7.9,8.22,8.23,217.0,2.9,4.5,52.9,,80.6,0.51,24.8,9.8
대정연안1_연안,2016-08-01,126.2516667,33.2025,20.0,175.0,31.0,22.55,0.27,5.5,7.42,8.28,242.3,0.9,6.5,69.5,,78.1,0.58,7.7,12.5
대정연안1_연안,2016-11-01,126.2516667,33.2025,19.0,130.8,34.19,21.58,1.17,2.2,7.47,8.29,121.5,1.8,3.3,24.8,,35.1,0.7,8.4,9.5
대정연안2_연안,2016-02-01,126.3275,33.22,28.0,239.8,34.55,14.64,0.26,3.5,8.59,8.25,207.1,2.8,8.2,60.4,,65.8,1.21,2.6,11.1
대정연안2_연안,2016-05-01,126.3275,33.22,32.0,199.7,34.44,16.51,0.09,7.8,8.16,8.33,177.4,2.6,4.4,44.5,,102.8,0.87,55.7,11.8
대정연안2_연안,2016-08-01,126.3275,33.22,29.0,161.5,33.66,16.38,0.22,8.1,7.03,8.17,241.7,5.8,9.6,85.7,,114.0,0.64,22.6,10.9
대정연안2_연안,2016-11-01,126.3275,33.22,29.0,115.6,34.18,21.84,1.08,1.9,7.33,8.29,109.8,1.7,2.9,15.6,,57.0,0.78,39.7,8.0
대정연안3_연안,2016-02-01,126.2027778,33.23777778,25.0,326.2,34.5,14.17,0.28,5.2,8.35,8.27,185.4,3.2,14.4,63.4,,73.4,1.76,6.9,19.1
대정연안3_연안,2016-05-01,126.2027778,33.23777778,29.0,222.9,34.32,16.2,0.13,15.5,8.36,8.23,181.8,2.6,4.7,44.3,,69.7,0.74,22.7,16.9
대정연안3_연안,2016-08-01,126.2027778,33.23777778,27.0,187.0,31.94,19.99,0.19,4.9,7.05,8.21,264.1,1.4,9.0,70.2,,77.3,0.44,5.7,14.6
대정연안3_연안,2016-11-01,126.2027778,33.23777778,27.0,158.9,34.2,20.86,1.19,1.6,7.74,8.26,192.6,2.5,6.0,48.2,,59.6,0.76,8.9,12.3
도암만1_환경관리,2016-02-01,126.86472,34.42778,27.0,202.7,32.52,7.77,1.47,14.6,11.01,8.34,107.8,1.8,2.4,10.8,,18.5,0.66,5.9,12.3
도암만1_환경관리,2016-05-01,126.86472,34.42778,23.3,237.4,33.06,16.51,1.44,24.3,7.96,8.03,140.1,4.8,11.3,43.4,,62.9,0.42,14.6,23.2
도암만1_환경관리,2016-08-01,126.86472,34.42778,18.0,189.4,32.14,25.56,0.41,5.8,5.4,8.0,551.6,6.3,17.5,26.2,,75.6,0.83,43.1,29.0
도암만1_환경관리,2016-11-01,126.86472,34.42778,25.0,183.4,32.04,15.57,3.96,11.3,8.45,8.02,72.0,1.2,4.9,6.7,,18.2,1.02,10.3,25.3
도암만2_환경관리,2016-02-01,126.77222,34.45694,7.5,734.6,31.58,7.16,7.0,8.4,13.13,8.46,326.9,2.4,11.5,81.7,,85.6,1.1,1.5,12.1
도암만2_환경관리,2016-05-01,126.77222,34.45694,7.6,255.6,31.62,17.94,7.93,44.2,8.59,8.15,97.5,2.8,2.6,26.4,,34.4,1.39,5.2,31.6
도암만2_환경관리,2016-08-01,126.77222,34.45694,8.0,246.8,32.14,26.79,0.84,25.5,5.59,8.0,912.6,4.3,21.8,19.5,,70.7,1.5,47.0,52.3
도암만2_환경관리,2016-11-01,126.77222,34.45694,10.0,187.6,31.84,15.41,3.78,22.7,8.58,8.06,76.4,1.4,6.0,7.4,,20.4,1.0,11.5,30.8
도암만3_환경관리,2016-02-01,126.77139,34.48417,7.5,175.0,31.2,6.92,7.12,12.3,12.36,8.44,144.2,2.5,3.2,31.3,,43.0,1.16,9.3,11.6
도암만3_환경관리,2016-05-01,126.77139,34.48417,7.0,222.3,31.99,17.52,6.9,35.9,7.64,8.14,285.3,4.4,3.8,52.8,,63.7,0.87,6.5,21.5
도암만3_환경관리,2016-08-01,126.77139,34.48417,7.5,254.6,31.9,26.87,0.24,21.0,4.88,7.93,1007.9,7.2,30.7,32.1,,150.2,1.27,110.8,52.3
도암만3_환경관리,2016-11-01,126.77139,34.48417,9.8,192.3,31.8,15.35,3.16,37.5,8.4,8.06,84.8,1.3,6.6,8.1,,22.7,1.28,13.3,37.8
도암만4_환경관리,2016-02-01,126.77639,34.50611,4.7,143.0,30.78,6.93,7.28,12.5,12.69,8.46,150.2,3.4,2.1,38.6,,59.7,1.21,17.7,10.2
도암만4_환경관리,2016-05-01,126.77639,34.50611,3.3,246.6,28.91,18.81,6.18,27.5,7.94,8.16,308.5,4.4,3.1,54.2,,64.4,1.02,5.8,25.6
도암만4_환경관리,2016-08-01,126.77639,34.50611,4.5,331.3,31.74,27.31,0.6,17.5,5.18,7.92,1304.1,9.3,36.8,41.8,,147.6,1.71,96.5,68.3
도암만4_환경관리,2016-11-01,126.77639,34.50611,6.0,197.5,31.37,14.84,3.72,25.6,8.57,8.07,116.0,1.3,8.0,9.5,,26.8,1.27,16.0,34.1
도암만5_환경관리,2016-02-01,126.77361,34.53389,1.0,279.7,29.35,7.73,10.34,11.5,13.89,8.53,165.3,3.9,1.9,40.7,,75.6,2.16,31.0,15.5
도암만5_환경관리,2016-05-01,126.77361,34.53389,3.4,267.5,28.98,18.56,10.76,42.2,8.27,8.18,583.3,5.3,2.8,79.3,,91.1,1.65,6.5,21.2
도암만5_환경관리,2016-08-01,126.77361,34.53389,3.5,329.5,30.72,28.92,0.77,14.0,5.09,7.89,1489.9,11.6,45.1,50.1,,203.0,1.5,141.3,65.7
도암만5_환경관리,2016-11-01,126.77361,34.53389,6.6,231.0,31.26,14.67,3.4,48.3,8.62,8.07,126.5,1.2,8.3,10.2,,23.4,1.52,12.0,47.6
도암만6_환경관리,2016-02-01,126.77806,34.55944,0.5,424.2,,7.18,11.92,11.4,,8.61,428.6,9.7,1.8,173.3,,205.4,2.13,22.4,15.7
도암만6_환경관리,2016-05-01,126.77806,34.55944,2.1,353.4,,20.08,9.9,48.4,8.7,8.22,973.7,7.8,3.0,155.0,,169.3,1.89,6.5,42.2
도암만6_환경관리,2016-08-01,126.77806,34.55944,2.0,457.9,29.23,30.14,1.61,25.1,5.1,7.86,1700.7,14.8,49.9,71.6,,258.8,1.99,172.4,98.7
도암만6_환경관리,2016-11-01,126.77806,34.55944,5.0,231.7,30.08,13.5,3.02,15.4,8.96,8.06,218.9,1.4,12.5,20.6,,40.5,1.35,18.5,36.2
동해연안1_연안,2016-02-01,129.135,37.53555556,19.0,266.9,34.05,7.43,0.41,11.8,10.14,8.22,284.0,4.1,12.0,89.7,,105.6,1.06,11.8,16.0
동해연안1_연안,2016-05-01,129.135,37.53555556,17.0,138.4,34.13,12.91,0.98,9.4,9.02,8.0,45.3,1.2,3.7,1.8,,4.7,0.52,1.8,13.1
동해연안1_연안,2016-08-01,129.135,37.53555556,19.0,126.8,33.62,12.22,1.47,4.0,9.17,8.0,174.9,0.2,2.9,2.9,,12.3,1.12,9.2,12.9
동해연안1_연안,2016-11-01,129.135,37.53555556,19.0,130.3,33.39,13.28,0.18,4.9,8.22,8.24,187.0,2.6,6.5,23.3,,33.7,0.85,7.8,16.1
동해연안2_연안,2016-02-01,129.1547222,37.50305556,26.0,278.0,34.06,6.51,0.39,3.8,10.02,8.2,297.5,4.6,13.2,99.6,,115.7,1.64,11.5,16.5
동해연안2_연안,2016-05-01,129.1547222,37.50305556,25.0,199.3,34.12,10.53,0.68,8.6,8.9,7.96,113.3,2.7,5.4,33.9,,48.9,0.54,12.3,21.0
동해연안2_연안,2016-08-01,129.1547222,37.50305556,24.0,189.5,34.03,11.62,1.95,5.0,7.37,7.93,302.0,3.3,9.9,54.2,,71.1,0.86,13.7,22.6
동해연안2_연안,2016-11-01,129.1547222,37.50305556,22.0,135.5,33.43,13.23,0.18,4.5,8.07,8.2,221.7,3.1,7.6,38.6,,50.1,0.87,8.4,14.6
동해연안3_연안,2016-02-01,129.1522222,37.52333333,25.0,281.5,34.04,7.36,0.33,17.6,9.97,8.21,298.0,4.8,13.5,100.2,,116.2,0.55,11.2,17.6
동해연안3_연안,2016-05-01,129.1522222,37.52333333,25.0,215.4,34.12,9.89,0.65,8.1,8.94,7.95,137.4,3.6,6.6,44.7,,64.2,0.57,15.9,22.2
동해연안3_연안,2016-08-01,129.1522222,37.52333333,27.0,196.2,34.1,11.48,0.78,4.3,7.33,7.93,303.1,3.4,13.0,65.9,,83.5,0.55,14.2,19.9
동해연안3_연안,2016-11-01,129.1522222,37.52333333,31.0,142.5,33.46,13.2,0.17,7.3,8.04,8.21,221.4,3.0,7.8,33.5,,44.7,0.96,8.3,14.6
동해연안4_연안,2016-02-01,129.115,37.61138889,36.0,260.6,33.99,6.66,0.21,6.2,9.88,8.17,256.9,4.3,12.0,87.1,,104.8,1.4,13.5,16.2
동해연안4_연안,2016-05-01,129.115,37.61138889,34.0,269.5,34.01,5.88,0.18,8.8,8.42,7.8,278.6,3.5,17.1,117.2,,140.7,0.37,20.0,32.7
동해연안4_연안,2016-08-01,129.115,37.61138889,36.0,178.9,33.76,8.56,2.14,3.3,9.5,8.06,111.6,0.8,3.7,8.2,,19.8,0.92,10.7,15.3
동해연안4_연안,2016-11-01,129.115,37.61138889,31.0,152.7,33.42,12.8,0.21,4.1,8.15,8.24,199.1,3.2,7.9,29.1,,45.4,0.85,13.1,13.5
동해연안H1_항만,2016-02-01,129.1152778,37.54666667,8.5,299.6,34.01,7.8,1.88,7.7,10.32,8.22,297.1,4.8,12.3,94.5,,111.1,0.85,11.8,19.0
동해연안H1_항만,2016-08-01,129.1152778,37.54666667,8.0,133.2,33.24,18.25,2.34,23.4,8.54,7.99,74.6,0.8,1.0,3.1,,12.5,0.89,8.7,12.9
동해연안H2_항만,2016-02-01,129.1402778,37.49666667,15.0,278.0,33.96,7.78,4.64,17.6,11.07,8.25,179.1,5.2,8.3,85.7,,112.7,1.88,21.8,16.7
동해연안H2_항만,2016-08-01,129.1402778,37.49666667,14.0,126.5,33.85,14.97,1.01,4.8,9.1,8.07,175.1,2.5,1.1,14.3,,25.7,0.69,9.0,11.7
득량만1_환경관리,2016-02-01,127.21861,34.70667,8.5,290.3,31.73,5.38,6.8,22.5,11.75,8.52,16.1,0.6,1.5,5.0,,21.3,1.74,15.7,28.0
득량만1_환경관리,2016-05-01,127.21861,34.70667,8.5,154.7,32.45,19.4,2.22,17.9,8.24,8.18,540.5,1.1,3.4,2.5,,9.4,0.95,5.8,24.8
득량만1_환경관리,2016-08-01,127.21861,34.70667,8.5,294.3,32.23,29.79,2.88,19.5,6.23,8.04,1332.8,1.2,27.1,1.1,,4.6,2.36,2.3,65.5
득량만1_환경관리,2016-11-01,127.21861,34.70667,10.5,221.5,30.54,14.3,1.11,10.0,7.97,8.2,341.0,1.5,11.3,8.9,,29.9,1.33,19.5,32.8
득량만2_환경관리,2016-02-01,127.13944,34.63944,10.5,232.6,32.59,6.26,4.0,19.3,11.47,8.36,99.6,0.9,2.4,15.8,,23.4,1.02,6.7,21.0
득량만2_환경관리,2016-05-01,127.13944,34.63944,10.0,135.4,32.73,18.68,3.09,11.7,8.4,8.22,192.7,0.4,2.6,2.4,,6.9,1.26,4.0,16.8
득량만2_환경관리,2016-08-01,127.13944,34.63944,10.5,191.0,32.34,27.04,1.74,12.0,5.02,8.04,982.9,1.5,13.9,1.3,,14.8,1.22,12.0,37.5
득량만2_환경관리,2016-11-01,127.13944,34.63944,12.5,188.9,31.26,15.29,1.62,13.0,7.97,8.23,177.3,0.9,5.3,3.3,,12.8,1.2,8.7,22.8
득량만3_환경관리,2016-02-01,127.05083,34.52167,12.5,277.5,33.42,8.65,0.9,28.4,10.41,8.39,398.6,2.5,13.3,97.5,,106.1,0.81,6.1,19.9
득량만3_환경관리,2016-05-01,127.05083,34.52167,12.5,137.2,33.3,17.89,1.38,14.0,8.34,8.23,99.2,1.7,2.5,9.8,,18.4,0.82,6.8,21.3
득량만3_환경관리,2016-08-01,127.05083,34.52167,12.5,161.6,32.32,24.87,2.83,4.6,6.73,8.17,479.8,1.4,3.8,1.0,,10.3,1.22,7.8,21.1
득량만3_환경관리,2016-11-01,127.05083,34.52167,11.0,196.0,31.78,15.26,1.4,18.0,8.2,8.23,143.0,0.9,4.6,4.1,,15.9,1.3,10.9,26.7
득량만4_환경관리,2016-02-01,127.03111,34.595,5.5,244.6,32.14,6.41,3.78,8.4,12.43,8.56,47.5,0.5,1.6,3.4,,14.0,1.51,10.1,20.6
득량만4_환경관리,2016-05-01,127.03111,34.595,6.0,189.0,32.06,21.32,3.2,18.0,8.45,8.25,122.7,0.7,3.1,4.7,,9.6,1.29,4.1,33.9
득량만4_환경관리,2016-08-01,127.03111,34.595,5.0,224.9,32.37,29.5,3.12,18.7,6.05,7.97,1191.1,1.5,14.0,0.7,,12.9,2.07,10.8,58.8
득량만4_환경관리,2016-11-01,127.03111,34.595,7.0,218.6,30.65,13.71,1.3,15.8,7.91,8.2,446.5,0.9,11.5,5.3,,28.7,1.44,22.5,32.2
득량만5_환경관리,2016-02-01,127.04111,34.48389,18.0,212.5,33.47,8.97,0.7,29.1,10.23,8.35,398.7,2.5,14.2,102.0,,110.1,0.9,5.6,14.6
득량만5_환경관리,2016-05-01,127.04111,34.48389,18.5,270.1,33.34,17.77,1.21,14.3,8.26,8.19,224.2,2.2,2.7,13.8,,23.2,0.71,7.2,14.9
득량만5_환경관리,2016-08-01,127.04111,34.48389,20.5,123.3,32.32,24.56,2.96,12.4,6.54,8.18,452.2,2.3,3.0,3.2,,13.8,1.22,8.3,22.6
득량만5_환경관리,2016-11-01,127.04111,34.48389,19.5,187.2,31.95,16.01,1.08,12.5,8.01,8.22,74.1,1.0,3.5,4.6,,16.3,1.14,10.7,22.4
마산만1_환경관리,2016-02-01,128.58333,35.19583,6.5,394.8,32.48,6.89,9.41,9.3,12.21,8.62,54.9,1.1,2.8,10.4,,19.7,2.34,8.2,31.1
마산만1_환경관리,2016-05-01,128.58333,35.19583,7.0,379.3,31.97,16.2,17.4,8.2,11.47,8.38,170.6,0.5,7.0,9.2,,46.6,3.06,36.8,54.2
마산만1_환경관리,2016-08-01,128.58333,35.19583,6.5,434.9,31.03,22.63,3.69,12.2,2.6,7.81,863.1,3.3,25.0,7.0,,133.9,2.86,123.6,90.1
마산만1_환경관리,2016-11-01,128.58333,35.19583,7.0,432.6,31.36,17.85,1.77,5.8,5.81,8.1,767.5,44.9,22.8,126.8,,255.2,1.53,83.5,41.2
마산만10_환경관리,2016-02-01,128.57472,35.19444,7.0,430.7,32.23,6.47,8.14,21.5,12.86,8.6,60.1,1.7,2.5,11.6,,25.0,2.51,11.7,30.3
마산만10_환경관리,2016-05-01,128.57472,35.19444,7.0,326.7,31.79,16.31,14.3,9.1,10.42,8.32,317.8,2.3,8.7,14.2,,67.1,3.32,50.6,45.0
마산만10_환경관리,2016-08-01,128.57472,35.19444,7.0,423.5,31.63,21.33,1.41,15.6,1.27,7.87,912.4,1.4,31.8,4.0,,151.0,2.51,145.7,79.3
마산만10_환경관리,2016-11-01,128.57472,35.19444,7.0,425.3,31.34,18.03,1.77,5.4,6.12,7.99,806.5,47.6,23.8,135.9,,279.2,1.53,95.7,36.8
마산만11_환경관리,2016-02-01,128.57694,35.19889,5.5,461.1,32.22,6.43,7.82,16.8,13.23,7.51,55.0,1.7,2.2,10.9,,32.2,2.31,19.6,32.5
마산만11_환경관리,2016-05-01,128.57694,35.19889,5.5,323.0,31.49,16.93,11.5,5.7,12.2,8.41,115.2,1.5,7.6,13.1,,34.2,3.82,19.7,42.2
마산만11_환경관리,2016-08-01,128.57694,35.19889,5.5,446.3,30.97,22.63,2.62,20.9,1.86,7.91,758.9,1.5,20.3,4.5,,101.1,2.76,95.1,75.1
마산만11_환경관리,2016-11-01,128.57694,35.19889,6.0,453.7,31.31,18.04,1.52,10.9,4.87,7.95,815.5,47.4,26.3,125.4,,296.4,1.6,123.6,40.8
마산만12_환경관리,2016-02-01,128.58056,35.20139,3.5,484.8,32.3,7.02,11.15,20.5,12.98,8.65,51.3,1.6,2.3,9.5,,32.3,2.58,21.3,38.3
마산만12_환경관리,2016-05-01,128.58056,35.20139,4.0,340.3,31.56,16.9,15.35,9.9,12.03,8.41,92.0,0.5,8.5,9.8,,35.7,3.78,25.4,46.2
마산만12_환경관리,2016-08-01,128.58056,35.20139,5.0,374.2,30.83,22.92,3.45,6.6,3.04,7.98,746.3,1.8,15.7,4.2,,50.4,2.73,44.4,67.1
마산만12_환경관리,2016-11-01,128.58056,35.20139,5.0,447.1,31.28,18.05,2.1,13.1,5.7,7.98,799.5,44.8,25.1,126.8,,288.9,1.5,117.3,40.8
마산만13_환경관리,2016-02-01,128.58639,35.20611,6.5,450.3,32.46,6.98,9.38,16.4,12.54,8.62,53.4,1.2,2.5,9.7,,22.1,2.2,11.2,33.3
마산만13_환경관리,2016-05-01,128.58639,35.20611,5.5,363.9,31.65,16.71,18.65,10.6,9.28,8.22,241.9,0.6,9.5,9.1,,39.9,2.54,30.2,58.1
마산만13_환경관리,2016-08-01,128.58639,35.20611,9.0,390.3,31.37,21.94,1.94,3.1,1.67,7.92,914.9,2.3,30.8,4.4,,126.4,2.33,119.8,69.8
마산만13_환경관리,2016-11-01,128.58639,35.20611,6.5,407.9,31.34,18.02,1.59,12.1,5.45,7.99,758.2,45.5,23.5,121.6,,266.7,1.49,99.5,37.4
마산만14_환경관리,2016-02-01,128.58694,35.20917,6.0,430.2,32.49,6.98,10.64,16.7,12.36,8.62,44.7,0.9,2.5,7.1,,27.9,2.22,19.9,32.9
마산만14_환경관리,2016-05-01,128.58694,35.20917,6.0,349.4,31.65,16.71,15.85,11.6,11.42,8.36,320.0,3.4,6.7,37.1,,59.5,3.43,19.0,50.0
마산만14_환경관리,2016-08-01,128.58694,35.20917,7.0,390.7,31.01,22.41,1.53,4.6,2.69,7.97,848.4,1.9,24.4,5.9,,91.8,2.56,84.0,71.1
마산만14_환경관리,2016-11-01,128.58694,35.20917,7.0,407.7,31.37,18.0,1.67,7.8,5.83,7.99,742.3,46.0,23.0,117.3,,261.3,1.38,97.9,35.9
마산만15_환경관리,2016-02-01,128.59639,35.2075,7.5,476.9,32.51,7.01,10.9,14.9,12.26,8.62,38.2,1.0,2.1,3.7,,30.8,2.73,26.2,34.4
마산만15_환경관리,2016-05-01,128.59639,35.2075,10.0,407.1,32.2,15.69,9.95,5.6,6.09,8.01,538.9,4.6,20.4,26.9,,198.2,1.76,166.7,61.7
마산만15_환경관리,2016-08-01,128.59639,35.2075,9.5,448.4,31.62,21.35,0.63,8.8,1.21,7.91,1173.7,1.1,58.8,3.8,,214.8,2.37,209.9,95.1
마산만15_환경관리,2016-11-01,128.59639,35.2075,13.0,409.7,31.42,17.99,1.31,11.3,5.7,7.98,752.4,45.0,23.2,116.0,,262.2,1.22,101.2,37.7
마산만2_환경관리,2016-02-01,128.60417,35.14722,16.5,311.5,32.6,6.9,6.66,15.8,12.22,8.6,37.0,0.8,1.3,1.9,,9.2,2.24,6.6,21.2
마산만2_환경관리,2016-05-01,128.60417,35.14722,14.5,302.8,32.61,15.54,7.95,4.5,6.79,8.06,426.4,5.8,5.9,24.0,,103.3,1.18,73.5,34.5
마산만2_환경관리,2016-08-01,128.60417,35.14722,15.0,321.8,32.67,19.91,0.94,8.0,1.84,7.73,1022.1,21.6,34.7,22.9,,187.0,1.53,142.5,57.0
마산만2_환경관리,2016-11-01,128.60417,35.14722,14.5,340.0,31.7,17.92,2.05,5.4,6.74,8.01,687.2,39.3,18.5,109.8,,193.9,1.28,44.8,32.1
마산만3_환경관리,2016-02-01,128.58972,35.1675,13.0,380.9,32.43,6.67,7.62,9.9,12.33,8.64,38.2,1.0,1.1,3.1,,13.1,2.27,9.1,28.2
마산만3_환경관리,2016-05-01,128.58972,35.1675,12.5,316.6,32.54,15.39,17.95,9.6,7.96,8.16,205.5,1.4,6.7,6.9,,70.7,2.1,62.4,36.6
마산만3_환경관리,2016-08-01,128.58972,35.1675,13.5,350.4,32.52,19.91,0.44,9.5,0.92,7.66,1160.5,10.8,39.6,8.2,,190.8,1.48,171.8,64.8
마산만3_환경관리,2016-11-01,128.58972,35.1675,12.5,373.3,31.5,17.99,1.18,8.6,6.62,8.0,755.0,45.1,22.0,123.7,,231.5,1.2,62.7,32.9
마산만4_환경관리,2016-02-01,128.57639,35.17778,13.5,371.8,32.64,6.98,9.3,7.75,11.91,8.59,44.0,0.8,1.3,2.3,,14.3,2.2,11.1,27.9
마산만4_환경관리,2016-05-01,128.57639,35.17778,14.0,382.4,32.55,15.35,11.3,6.8,6.55,8.09,495.9,4.5,21.7,23.7,,149.3,1.82,121.1,53.3
마산만4_환경관리,2016-08-01,128.57639,35.17778,13.5,454.9,32.49,19.86,0.38,12.6,0.11,7.83,1493.8,0.6,76.0,1.8,,304.9,1.87,302.5,94.0
마산만4_환경관리,2016-11-01,128.57639,35.17778,12.5,405.9,31.67,18.17,2.04,4.9,5.66,7.97,806.1,44.8,25.2,120.3,,255.5,1.34,90.5,39.6
마산만5_환경관리,2016-02-01,128.6025,35.14167,27.5,308.5,32.62,6.86,6.72,10.6,12.35,8.58,51.8,1.1,1.2,2.5,,15.3,2.05,11.7,23.0
마산만5_환경관리,2016-05-01,128.6025,35.14167,26.5,301.2,32.8,15.43,3.65,7.4,6.21,8.03,518.9,9.3,11.6,39.7,,144.7,0.67,95.7,36.1
마산만5_환경관리,2016-08-01,128.6025,35.14167,26.0,365.5,32.74,19.77,0.76,10.7,2.27,7.91,1092.7,24.0,39.7,31.9,,223.0,1.32,167.1,61.9
마산만5_환경관리,2016-11-01,128.6025,35.14167,25.5,396.3,31.92,18.1,2.33,9.2,5.34,7.97,862.8,34.1,28.7,101.1,,239.8,1.25,104.6,44.4
마산만6_환경관리,2016-02-01,128.60944,35.11556,13.5,334.4,32.64,6.89,4.85,7.4,12.19,8.6,40.8,3.1,0.9,15.8,,47.6,1.83,28.7,18.3
마산만6_환경관리,2016-05-01,128.60944,35.11556,14.0,281.1,32.76,15.56,9.35,13.4,8.17,8.16,265.0,5.5,6.3,24.7,,56.0,1.25,25.7,25.4
마산만6_환경관리,2016-08-01,128.60944,35.11556,14.0,272.7,32.69,20.27,1.74,3.8,3.32,7.99,697.9,18.9,20.5,36.5,,119.2,1.2,63.8,42.0
마산만6_환경관리,2016-11-01,128.60944,35.11556,14.5,341.1,31.67,17.85,2.3,4.7,7.32,8.04,650.6,39.2,18.9,114.7,,197.9,1.26,44.0,30.7
마산만7_환경관리,2016-02-01,128.66694,35.08083,12.5,266.7,33.06,8.09,5.56,6.5,11.55,8.49,47.0,1.1,2.2,4.4,,11.9,1.33,6.4,17.5
마산만7_환경관리,2016-05-01,128.66694,35.08083,12.0,209.0,32.51,16.41,7.4,6.8,9.26,8.22,136.7,0.4,5.6,5.4,,26.4,1.77,20.6,23.8
마산만7_환경관리,2016-08-01,128.66694,35.08083,13.0,214.1,32.24,22.5,3.17,21.9,4.94,8.16,209.7,1.3,4.9,7.0,,18.2,1.76,10.0,32.2
마산만7_환경관리,2016-11-01,128.66694,35.08083,11.5,268.3,31.81,17.97,4.64,4.5,8.07,8.08,436.3,19.5,11.8,81.0,,115.9,1.47,15.4,27.2
마산만8_환경관리,2016-02-01,128.72111,35.04889,27.0,270.3,33.25,8.69,5.26,11.4,11.62,8.43,81.8,1.8,4.5,19.9,,26.7,1.09,5.0,19.1
마산만8_환경관리,2016-05-01,128.72111,35.04889,29.5,203.6,33.53,15.07,6.9,6.9,7.56,8.12,317.2,12.5,10.4,41.3,,86.5,0.9,32.8,22.6
마산만8_환경관리,2016-08-01,128.72111,35.04889,26.5,220.2,32.63,20.8,2.08,26.5,5.16,8.12,353.9,7.2,10.3,37.7,,64.0,1.51,19.2,32.4
마산만8_환경관리,2016-11-01,128.72111,35.04889,29.5,245.4,32.77,18.04,1.87,8.6,6.33,8.02,513.6,19.2,18.3,116.8,,146.3,1.26,10.3,25.1
마산만9_환경관리,2016-02-01,128.565,35.18444,9.5,449.0,32.51,6.81,12.06,8.55,11.54,8.57,58.3,1.1,2.5,6.1,,18.8,2.56,11.6,36.3
마산만9_환경관리,2016-05-01,128.565,35.18444,8.5,390.4,32.04,15.5,12.65,8.0,7.23,8.09,460.0,5.7,21.4,32.5,,137.6,1.93,99.4,50.0
마산만9_환경관리,2016-08-01,128.565,35.18444,10.0,552.2,32.02,20.59,0.6,20.9,0.0,7.75,1474.2,0.6,,2.8,,365.3,2.34,361.9,110.9
마산만9_환경관리,2016-11-01,128.565,35.18444,7.0,448.0,31.17,17.79,2.26,7.3,6.36,7.99,830.9,47.0,25.1,140.7,,293.3,1.38,105.5,40.0
마산만H1_항만,2016-02-01,128.5938889,35.20555556,12.5,417.8,32.66,7.11,9.85,14.4,11.8,8.59,42.3,0.7,1.2,2.0,,5.5,2.1,2.7,36.1
마산만H1_항만,2016-08-01,128.5938889,35.20555556,13.0,843.2,32.41,19.93,0.92,3.8,0.54,7.7,1367.6,0.8,79.8,3.7,,288.6,1.65,284.0,169.2
목포연안1_연안,2016-02-01,126.425,34.78027778,21.0,610.8,30.82,6.05,3.73,7.5,9.88,8.07,538.5,5.1,22.3,298.1,,358.4,1.07,55.2,25.0
목포연안1_연안,2016-05-01,126.425,34.78027778,14.5,447.2,31.49,16.76,6.72,11.4,7.62,8.2,79.3,13.1,4.6,124.1,,183.0,1.37,45.8,46.7
목포연안1_연안,2016-08-01,126.425,34.78027778,13.5,305.3,31.01,25.76,7.84,8.4,3.62,7.8,601.6,76.4,51.0,99.3,,222.7,0.98,47.1,55.8
목포연안1_연안,2016-11-01,126.425,34.78027778,10.0,410.0,30.48,15.19,0.39,10.5,7.54,8.11,623.6,18.0,29.5,229.3,,280.1,1.05,32.8,36.2
목포연안2_연안,2016-02-01,126.3805556,34.84444444,19.0,359.3,30.72,5.85,13.68,21.5,11.04,8.2,354.5,4.4,7.5,232.5,,250.9,1.4,14.0,31.4
목포연안2_연안,2016-05-01,126.3805556,34.84444444,18.0,320.0,31.78,18.34,2.41,49.3,9.15,8.28,15.5,5.3,2.6,62.7,,81.0,1.82,12.9,45.0
목포연안2_연안,2016-08-01,126.3805556,34.84444444,19.0,228.4,31.31,27.44,1.81,10.4,6.48,8.06,253.9,13.6,9.6,20.6,,54.7,1.17,20.6,25.0
목포연안2_연안,2016-11-01,126.3805556,34.84444444,21.0,360.8,30.49,14.7,0.52,45.1,7.9,8.13,565.8,10.1,23.5,213.9,,248.8,1.47,24.9,51.0
목포연안3_연안,2016-02-01,126.35,34.78972222,16.0,419.2,31.22,6.11,8.29,7.1,11.34,8.07,450.4,3.9,13.7,260.5,,271.8,1.47,7.4,43.6
