station,date_time,longitude,latitude,depth(m),depth(text),전체수심(m),염분[psu],수온[℃],용존산소[ml/L],규산염[μM],아질산성질소[μM],인산염인[μM],질산성질소[μM],투명도[m]
102-07,2020-06-18 06:05:00,130.0,36.0767,0,,1390.0,33.3174,20.5317,6.3988,4.91186,0.00117,0.005667,0.08703,
102-07,2020-06-18 06:05:00,130.0,36.0767,10,,1390.0,33.3167,20.5139,6.3731,,,,,
102-07,2020-06-18 06:05:00,130.0,36.0767,20,,1390.0,33.6581,18.4423,6.8362,6.30427,0.00275,0.058034,0.483343,
102-07,2020-06-18 06:05:00,130.0,36.0767,30,,1390.0,34.0153,16.5634,7.1121,,,,,
102-07,2020-06-18 06:05:00,130.0,36.0767,50,,1390.0,34.3884,15.5386,5.5706,3.63989,0.0049,0.103651,0.288674,
102-07,2020-06-18 06:05:00,130.0,36.0767,75,,1390.0,34.3431,13.0488,7.5132,,,,,
102-07,2020-06-18 06:05:00,130.0,36.0767,100,,1390.0,34.2511,11.3683,7.5594,5.97059,0.01185,0.40519,5.83835,
102-07,2020-06-18 06:05:00,130.0,36.0767,125,,1390.0,34.2345,10.9168,7.7099,,,,,
102-07,2020-06-18 06:05:00,130.0,36.0767,150,,1390.0,34.1744,8.8825,7.7862,,,,,
102-07,2020-06-18 06:05:00,130.0,36.0767,200,,1390.0,34.0841,4.7446,8.2339,,,,,
102-07,2020-06-18 06:05:00,130.0,36.0767,250,,1390.0,34.0404,1.637,8.2483,,,,,
102-07,2020-06-18 06:05:00,130.0,36.0767,300,,1390.0,34.0386,1.0607,8.0129,,,,,
102-07,2020-06-18 06:05:00,130.0,36.0767,400,,1390.0,34.0542,0.756,6.3651,,,,,
