province,city,city_code,town,latitude,longitude,시설년도,시설유형,품종,area,ORIG_FID,geometry
강원도,양양군,83,수산리,38.079314583645726,128.68437500900006,2017,어초,감태,1356098.52265,88,POINT (128.68437500900006 38.079314583645726)
제주특별자,서귀포시,13,시흥리,33.480769056182055,126.92121828104962,2017,어초,미역,3310353.09279,89,POINT (126.92121828104962 33.480769056182055)
강원도,삼척시,23,신남,37.265476886227304,129.33504873843276,2011,어초,모자반,509130.858125,90,POINT (129.33504873843276 37.265476886227304)
제주특별자,서귀포시,13,신산리,33.381249992500045,126.89374999450013,2019,어초,감태,1612765.11166,91,POINT (126.89374999450013 33.381249992500045)
경상남도,사천시,24,신수도,34.891825647207554,128.0804958330001,2015,어초,모자반,2759523.72255,92,POINT (128.0804958330001 34.891825647207554)
제주특별자,제주시,11,신엄리,33.4810398770897,126.353488707,2016,어초,감태,959255.687114,93,POINT (126.353488707 33.4810398770897)
전라남도,여수시,13,신월_소호,34.72710943851092,127.67559922447981,2010,어초,모자반,6180725.65669,94,POINT (127.67559922447981 34.72710943851092)
경상북도,포항시,11,신창2리,35.88581975959755,129.53269628832538,2009,어초,감태,350925.536573,95,POINT (129.53269628832538 35.88581975959755)
제주특별자,서귀포시,13,신천리,33.35000000508353,126.86874996783354,2018,어초,감태,3226755.07911,96,POINT (126.86874996783354 33.35000000508353)
제주특별자,서귀포시,13,신흥리2010,33.29830001050618,126.7732284774072,2010,어초,모자반,1051629.69872,97,POINT (126.7732284774072 33.29830001050618)
제주특별자,제주시,11,신흥리2014,33.55899772469746,126.64022266107236,2014,어초,모자반,874623.726498,98,POINT (126.64022266107236 33.55899772469746)
전라남도,여수시,13,안도,34.491253800877246,127.8198128924123,2017,어초,감태,978036.027998,99,POINT (127.8198128924123 34.491253800877246)
경상남도,고성군,82,안장섬,34.893749998333476,128.18125000550015,2019,어초,감태,1583403.06449,100,POINT (128.18125000550015 34.893749998333476)
강원도,동해시,17,어달리,37.567759631431045,129.12400921357425,2013,어초,감태,1089028.00018,101,POINT (129.12400921357425 37.567759631431045)
전라남도,여수시,13,역만도,34.1812500176668,127.35625000983339,2019,어초,감태,1597448.91181,102,POINT (127.35625000983339 34.1812500176668)
경상남도,통영시,22,연대도,34.73623139698219,128.38624166650015,2016,어초,모자반,1149644.12565,103,POINT (128.38624166650015 34.73623139698219)
전라남도,여수시,13,연도리,34.423189070968874,127.81104166575005,2015,어초,감태,18073432.7038,104,POINT (127.81104166575005 34.423189070968874)
경상북도,경주시,13,연동리,35.83275539544502,129.5167293625001,2016,어초,모자반,603672.581279,105,POINT (129.5167293625001 35.83275539544502)
경상북도,포항시,11,영암1리,35.906696205467085,129.5342672811188,2017,어초,감태,1256487.33757,106,POINT (129.5342672811188 35.906696205467085)
강원도,강릉시,15,영진리,37.86003312268957,128.86091018700017,2015,어초,감태,3181482.88637,107,POINT (128.86091018700017 37.86003312268957)
경상북도,포항시,11,오도1리,36.15245984899542,129.40262500025017,2016,어초,감태,16607.4457139,108,POINT (129.40262500025017 36.15245984899542)
경상북도,포항시,11,오도2리,36.16395327608251,129.40408718306378,2016,어초,감태,83021.0844098,109,POINT (129.40408718306378 36.16395327608251)
제주특별자,제주시,11,오봉리1,33.531250004583455,126.94375002225013,2018,어초,모자반,1609963.5003,110,POINT (126.94375002225013 33.531250004583455)
제주특별자,제주시,11,오봉리2,33.53125000183343,126.95625002800011,2018,어초,감태,1609946.14646,111,POINT (126.95625002800011 33.53125000183343)
제주특별자,제주시,11,오봉리3,33.51874999758343,126.94375001358344,2018,어초,감태,1610181.09209,112,POINT (126.94375001358344 33.51874999758343)
강원도,양양군,83,오산리,38.096512518457075,128.66777902099193,2017,어초,감태,1470915.01484,113,POINT (128.66777902099193 38.096512518457075)
전라남도,여수시,13,오천동,34.79787079474437,127.76154223669062,2016,어초,모자반,488622.06494,114,POINT (127.76154223669062 34.79787079474437)
전라남도,고흥군,77,외나로도,34.460207210022986,127.52178316322431,2015,어초,감태,2131215.35796,115,POINT (127.52178316322431 34.460207210022986)
경상남도,통영시,22,욕지,34.6210563654318,128.31204999950012,2012,어초,감태,1292748.84068,116,POINT (128.31204999950012 34.6210563654318)
경상남도,통영시,22,욕지_적도,34.660661146453435,128.31319583300012,2014,어초,감태,608484.282949,117,POINT (128.31319583300012 34.660661146453435)
경상남도,남해군,84,용소리,34.77045085650468,127.92528705620407,2014,어초,감태,1417127.60335,118,POINT (127.92528705620407 34.77045085650468)
부산광역시,남구,26,용호동,35.09907727695145,129.12493333350005,2014,어초,감태,846377.167976,119,POINT (129.12493333350005 35.09907727695145)
경상남도,통영시,22,우도,34.65625002166672,128.34374998783346,2018,어초,모자반,1587800.7304,120,POINT (128.34374998783346 34.65625002166672)
경상북도,영덕군,77,원척리,36.30253408887705,129.38156725417252,2014,어초,미역,531140.097465,121,POINT (129.38156725417252 36.30253408887705)
부산광역시,기장군,26,월내리,35.32156052612896,129.27116662600008,2015,어초,감태,458986.384462,122,POINT (129.27116662600008 35.32156052612896)
제주특별자,제주시,11,월정리,33.56577115730397,126.78788224601226,2017,어초,감태,2250587.21139,123,POINT (126.78788224601226 33.56577115730397)
전라북도,부안군,80,위도,35.59349767092516,126.25301211264787,2015,어초,감태,53952.5509477,124,POINT (126.25301211264787 35.59349767092516)
제주특별자,서귀포시,13,위미1리,33.26545400313421,126.65575374232685,2016,어초,감태,1063696.40666,125,POINT (126.65575374232685 33.26545400313421)
제주특별자,서귀포시,13,위미2리,33.265776313887045,126.67615004892514,2017,어초,감태,873926.486653,126,POINT (126.67615004892514 33.265776313887045)
경기도,안산시,27,육도,37.097860998357476,126.44479166675,2014,어초,모자반,1060282.84691,127,POINT (126.44479166675 37.097860998357476)
경상북도,포항시,11,이가리1,36.193750026166754,129.39375002466682,2019,어초,감태,1558212.35916,128,POINT (129.39375002466682 36.193750026166754)
경상북도,포항시,11,이가리2,36.181250009500104,129.39375004583337,2019,어초,감태,1558466.33755,129,POINT (129.39375004583337 36.181250009500104)
부산광역시,기장군,26,이천리_기장35,35.264272673546316,129.24182500000018,2016,어초,감태,151007.110309,130,POINT (129.24182500000018 35.264272673546316)
부산광역시,기장군,26,이천리_기장36,35.27011994989317,129.25270750050015,2016,어초,미역,258826.932219,131,POINT (129.25270750050015 35.27011994989317)
강원도,양양군,83,인구리,37.96875000658338,128.76875000658345,2018,어초,모자반,1522729.73556,132,POINT (128.76875000658345 37.96875000658338)
울산광역시,동구,31,일산동,35.48517868066119,129.43961666625,2015,어초,감태,372724.973517,133,POINT (129.43961666625 35.48517868066119)
경상북도,포항시,11,장길리,35.95565340764466,129.5524831005331,2017,어초,감태,1445428.95589,134,POINT (129.5524831005331 35.95565340764466)
전라북도,군산시,13,장자도,35.81201377028441,126.39209453395029,2011,어초,감태,44373.4916357,135,POINT (126.39209453395029 35.81201377028441)
전라북도,군산시,13,장자도_잘피,35.81193865352242,126.39565996536908,2011,어초,미역,10379.1237549,136,POINT (126.39565996536908 35.81193865352242)
경상남도,거제시,31,저구리,34.69827799590814,128.6006931030854,2015,어초,감태,3737257.56608,137,POINT (128.6006931030854 34.69827799590814)
강원도,양양군,83,전진1리,38.1312500326066,128.63124998304477,2019,어초,감태,1519435.09323,138,POINT (128.63124998304477 38.1312500326066)
강원도,양양군,83,전진2리,38.12033021414675,128.63450555550014,2016,어초,감태,308605.636195,139,POINT (128.63450555550014 38.12033021414675)
경상남도,남해군,84,조도,34.6946608939823,128.05577807250017,2010,어초,미역,419370.762355,140,POINT (128.05577807250017 34.6946608939823)
경상북도,포항시,11,조사리,36.218750035268386,129.39375000529583,2019,어초,감태,1557715.89968,141,POINT (129.39375000529583 36.218750035268386)
제주특별자,제주시,11,조천리,33.548794440762435,126.63403527393871,2016,어초,감태,797216.735366,142,POINT (126.63403527393871 33.548794440762435)
제주특별자,제주시,11,종달리,33.518750023424275,126.91874996583101,2018,어초,감태,1610222.80213,143,POINT (126.91874996583101 33.518750023424275)
강원도,강릉시,15,주문5리,37.90302205582509,128.8357148319103,2014,어초,모자반,835761.218468,144,POINT (128.8357148319103 37.90302205582509)
강원도,강릉시,15,주문리_소돌,37.91480696586217,128.82418706827002,2012,어초,감태,1760143.26492,145,POINT (128.82418706827002 37.91480696586217)
울산광역시,동구,31,주전동,35.55575439142905,129.46131146429548,2012,어초,감태,1773747.84831,146,POINT (129.46131146429548 35.55575439142905)
경상북도,포항시,11,지경리,36.268750022500114,129.38125000866683,2019,어초,감태,1556758.70558,147,POINT (129.38125000866683 36.268750022500114)
경상북도,영덕군,77,창포리,36.409124333503485,129.43278625119103,2010,어초,감태,299960.963267,148,POINT (129.43278625119103 36.409124333503485)
강원도,동해시,17,천곡동,37.525598780691894,129.13062083375019,2010,어초,미역,1412584.11887,149,POINT (129.13062083375019 37.525598780691894)
경상북도,울릉군,94,천부3_4리,37.5493472768398,130.90415972250014,2015,어초,감태,535802.607232,150,POINT (130.90415972250014 37.5493472768398)
전라남도,완도군,89,충도,34.37504889306018,127.07910000000004,2016,어초,감태,1699835.78452,151,POINT (127.07910000000004 34.37504889306018)
경상북도,울릉군,94,태하리,37.51181933823875,130.7959375733692,2014,어초,미역,82329.3751695,152,POINT (130.7959375733692 37.51181933823875)
충청남도,태안군,82,파도리,36.72214913252327,126.14142118065661,2009,어초,감태,1234.69273437,153,POINT (126.14142118065661 36.72214913252327)
제주특별자,서귀포시,13,표선리,33.30492984466042,126.83449865650016,2014,어초,감태,3430594.99149,154,POINT (126.83449865650016 33.30492984466042)
강원도,양양군,83,하광정리,38.018750002404545,128.73124998820276,2018,어초,감태,1521711.3225,155,POINT (128.73124998820276 38.018750002404545)
제주특별자,제주시,11,하도리,33.532699612048646,126.88864100000012,2016,어초,감태,6545825.82998,156,POINT (126.88864100000012 33.532699612048646)
제주특별자,서귀포시,13,하례리,33.25271358491182,126.63537073348266,2015,어초,감태,1749695.33912,157,POINT (126.63537073348266 33.25271358491182)
제주특별자,서귀포시,13,하예동,33.23538417544478,126.3961035000001,2011,어초,감태,2232584.09405,158,POINT (126.3961035000001 33.23538417544478)
제주특별자,제주시,11,한동리,33.550062149126234,126.83432500000004,2016,어초,감태,2010346.19733,159,POINT (126.83432500000004 33.550062149126234)
제주특별자,제주시,11,행원리,33.56291030925411,126.81194163653993,2014,어초,감태,2322640.71589,160,POINT (126.81194163653993 33.56291030925411)
경상북도,울진군,93,현내리,37.00822046142349,129.42288096859875,2011,어초,감태,712530.672618,161,POINT (129.42288096859875 37.00822046142349)
전라남도,완도군,89,황제도,34.193749982083375,127.08125003008342,2019,어초,모자반,1597537.08749,162,POINT (127.08125003008342 34.193749982083375)
충청남도,보령시,18,횡견도,36.2204066434569,126.03368333300011,2016,어초,감태,384287.330961,163,POINT (126.03368333300011 36.2204066434569)
전라북도,부안군,80,부안군 위도면 식도,35.6241251375464,126.2749500000001,2020,어초,감태,808484.918868,164,POINT (126.2749500000001 35.6241251375464)
제주특별자,제주시,11,제주시 귀덕2리,33.44610494285172,126.28058049427591,2020,어초,미역,954364.341629,165,POINT (126.28058049427591 33.44610494285172)
제주특별자,제주시,11,제주시 조일리1,33.51901837699626,126.96888986204249,2020,어초,모자반,1520310.6624,166,POINT (126.96888986204249 33.51901837699626)
제주특별자,제주시,11,제주시 조일리2,33.50699817451232,126.97126491349866,2020,어초,감태,918371.212432,167,POINT (126.97126491349866 33.50699817451232)
제주특별자,제주시,11,제주시 하귀2리(귀일),33.49399926578849,126.39395572965532,2020,어초,감태,1539256.43295,168,POINT (126.39395572965532 33.49399926578849)
